Calendar Year,ACARA SML ID,AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name
2019,49801,77177,Southern Vales Christian College - Aldinga Campus,ALDINGA BEACH,SA,5173,Independent,Combined,School Sub-Campus and Single entity,Rolled Reporting,-35.280799,138.468556,0,Major Cities,40121093500,40304107228,403041072,Aldinga,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49802,85515,Sunrise Christian School Morphett Vale,MORPHETT VALE,SA,5162,Independent,Primary,School Single Entity,Individual Reporting,-35.105746,138.536133,0,Major Cities,40112452000,40304108417,403041084,Morphett Vale - East,40304,Onkaparinga,403,Adelaide - South,45340,Onkaparinga (C)
2019,49803,85517,Sunrise Christian School Paradise,PARADISE,SA,5075,Independent,Primary,School Single Entity,Individual Reporting,-34.870387,138.667779,0,Major Cities,40215309900,40104101522,401041015,Paradise - Newton,40104,Campbelltown (SA),401,Adelaide - Central and Hills,40910,Campbelltown (C) (SA)
2019,49804,14586,Cedar College,NORTHGATE,SA,5085,Independent,Combined,School Single Entity,Individual Reporting,-34.850701,138.634125,0,Major Cities,40141450000,40203103759,402031037,Northgate - Oakden - Gilles Plains,40203,Port Adelaide - East,402,Adelaide - North,45890,Port Adelaide Enfield (C)
2019,49805,16516,St Peters Lutheran School,BLACKWOOD,SA,5051,Independent,Primary,School Single Entity,Individual Reporting,-35.032657,138.610123,0,Major Cities,40086790000,40303106708,403031067,Blackwood,40303,Mitcham,403,Adelaide - South,44340,Mitcham (C)
2019,49806,77374,Temple Christian College - Bethany Campus,PARALOWIE,SA,5108,Independent,Combined,School Sub-Campus and Single entity,Rolled Reporting,-34.761871,138.605464,0,Major Cities,40169700000,40204104431,402041044,Paralowie,40204,Salisbury,402,Adelaide - North,47140,Salisbury (C)
2019,49807,18130,Saint Spyridon College,UNLEY,SA,5061,Independent,Primary,School Single Entity,Individual Reporting,-34.95028569,138.6087185,0,Major Cities,40215072100,40107102453,401071024,Unley - Parkside,40107,Unley,401,Adelaide - Central and Hills,47980,Unley (C)
2019,49808,280,Annesley College,WAYVILLE,SA,5034,Independent,Primary,School Single Entity,Individual Reporting,-34.942,138.598,0,Major Cities,40199730000,40107102317,401071023,Goodwood - Millswood,40107,Unley,401,Adelaide - Central and Hills,47980,Unley (C)
2019,49809,85514,Sunrise Christian School Naracoorte,NARACOORTE,SA,5271,Independent,Combined,School Single Entity,Individual Reporting,-36.963756,140.753438,2,Outer Regional,40215013700,40702115417,407021154,Naracoorte,40702,Limestone Coast,407,South Australia - South East,45090,Naracoorte and Lucindale (DC)
2019,49810,298,Seymour College,GLEN OSMOND,SA,5064,Independent,Combined,School Single Entity,Individual Reporting,-34.955977,138.646167,0,Major Cities,40022560000,40103101207,401031012,Glenside - Beaumont,40103,Burnside,401,Adelaide - Central and Hills,40700,Burnside (C)
2019,49811,299,Prince Alfred College,KENT TOWN,SA,5067,Independent,Combined,School Single Entity,Individual Reporting,-34.923142,138.617615,0,Major Cities,40106110000,40105101716,401051017,Norwood (SA),40105,Norwood - Payneham - St Peters,401,Adelaide - Central and Hills,45290,Norwood Payneham St Peters (C)
2019,49812,300,Pulteney Grammar School,ADELAIDE,SA,5000,Independent,Combined,School Single Entity,Individual Reporting,-34.93521054,138.6027983,0,Major Cities,40003240000,40101100144,401011001,Adelaide,40101,Adelaide City,401,Adelaide - Central and Hills,40070,Adelaide (C)
